Year,Country,Hotels count,Rooms count
2021,Australia,5960.0,304182.0
1995,Austria,18120.0,309742.0
1996,Austria,17990.0,307187.0
1997,Austria,17692.0,301479.0
1998,Austria,15780.0,302364.0
1999,Austria,15800.0,292104.0
2000,Austria,15517.0,286816.0
2001,Austria,15293.0,288346.0
2002,Austria,14914.0,282735.0
2003,Austria,14708.0,282614.0
2004,Austria,14435.0,290491.0
2005,Austria,14267.0,289879.0
2006,Austria,14051.0,282002.0
2007,Austria,14204.0,285558.0
2008,Austria,13756.0,286571.0
2009,Austria,13645.0,288934.0
2010,Austria,13461.0,290287.0
2011,Austria,13359.0,290509.0
2012,Austria,13203.0,292165.0
2013,Austria,13073.0,293702.0
2014,Austria,12839.0,291753.0
2015,Austria,12625.0,291974.0
2016,Austria,12366.0,291497.0
2017,Austria,12153.0,291046.0
2018,Austria,12003.0,292458.0
2019,Austria,11823.0,290878.0
2020,Austria,11612.0,290468.0
2021,Austria,11353.0,287528.0
1995,Czech,,53687.0
1996,Czech,,74161.0
1997,Czech,,90201.0
1998,Czech,,91720.0
1999,Czech,,92138.0
2000,Czech,3960.0,95365.0
2001,Czech,4112.0,95460.0
2002,Czech,4335.0,96650.0
2003,Czech,4377.0,98086.0
2004,Czech,4311.0,98764.0
2005,Czech,4278.0,99916.0
2006,Czech,4314.0,101563.0
2007,Czech,4559.0,106907.0
2008,Czech,4482.0,111775.0
2009,Czech,4469.0,114452.0
2010,Czech,4300.0,113417.0
2011,Czech,4612.0,115795.0
2012,Czech,6350.0,137701.0
2013,Czech,6301.0,137257.0
2014,Czech,5833.0,132520.0
2015,Czech,5992.0,136026.0
2016,Czech,6022.0,137092.0
2017,Czech,5967.0,137318.0
2018,Czech,6277.0,141450.0
2019,Czech,6236.0,141110.0
2020,Czech,7491.0,161774.0
2021,Czech,7685.0,161469.0
