Month,Average CNY/MOP=,Min CNY/MOP=,Max CNY/MOP=,Nb of working days
12/1990,1.343562,1.317429,1.378277,21
11/1990,1.403371,1.312934,1.495247,22
10/1990,1.498329,1.483051,1.532174,23
9/1990,1.541538,1.524090,1.566706,20
8/1990,1.539487,1.510387,1.583881,23
7/1990,1.606238,1.562296,1.625312,22
6/1990,1.657207,1.633806,1.673062,21
5/1990,1.645015,1.624503,1.668267,23
4/1990,1.670902,1.657374,1.686949,21
3/1990,1.691912,1.675303,1.706020,22
2/1990,1.663581,1.643083,1.678927,20
1/1990,1.685544,1.664729,1.710067,23
12/1989,1.934436,1.641913,2.200416,21
11/1989,2.243372,2.197966,2.275257,22
10/1989,2.279403,2.247153,2.333840,22
9/1989,2.363577,2.273366,2.410983,21
8/1989,2.330935,2.241065,2.374314,23
7/1989,2.296651,2.257538,2.349870,21
6/1989,2.401570,2.366872,2.472380,22
5/1989,2.346110,2.268025,2.429235,23
4/1989,2.258457,2.234174,2.283522,20
3/1989,2.251770,2.222568,2.283702,23
2/1989,2.232473,2.197459,2.269564,20
1/1989,2.206563,2.130133,2.248756,22
