Month,Average CNY/CLP=,Min CNY/CLP=,Max CNY/CLP=,Nb of working days
1/2019,99.480184,98.156135,101.727165,22
12/2018,99.251509,96.770856,101.681403,19
11/2018,97.598783,96.149539,99.574930,22
10/2018,98.000754,95.436858,100.010437,23
9/2018,99.269181,95.813424,101.763276,20
8/2018,96.187380,93.920927,99.590163,23
7/2018,97.098712,93.558271,98.938165,22
6/2018,98.481860,97.179273,99.356344,21
5/2018,98.380572,94.690392,100.105860,22
4/2018,95.608189,94.983211,96.088098,20
3/2018,95.521540,94.101520,96.433510,21
2/2018,94.334354,93.239575,96.171361,20
1/2018,94.180691,92.797302,95.891476,22
12/2017,96.632457,93.964013,99.197018,19
11/2017,95.803110,94.776238,97.461093,22
10/2017,95.061097,93.926464,96.443341,22
9/2017,95.292135,94.530730,96.207801,21
8/2017,96.482698,95.182672,97.414406,23
7/2017,97.050002,95.768359,98.025221,21
6/2017,97.552773,96.561840,98.690824,22
5/2017,97.412229,96.581738,98.354969,22
4/2017,95.127047,93.942880,96.613743,18
3/2017,95.977068,94.598874,96.876931,23
2/2017,93.610256,92.991245,94.431214,20
1/2017,95.780772,93.845276,97.033297,22
12/2016,96.186214,93.754606,97.936594,21
11/2016,97.415237,95.986565,98.666128,22
10/2016,98.556074,96.025037,99.867828,21
9/2016,100.091897,98.334324,101.924205,22
8/2016,99.153583,97.133710,101.462967,23
7/2016,98.448752,97.310392,99.882103,21
6/2016,103.200511,99.733489,105.252890,22
5/2016,104.566039,101.843799,106.621942,22
4/2016,103.307746,101.360073,105.769590,21
3/2016,104.514104,103.632188,105.948120,21
2/2016,107.381338,105.294012,108.870780,21
1/2016,109.772495,108.059126,110.980905,20
12/2015,109.255623,106.961143,110.759180,22
11/2015,110.670595,108.620773,112.038449,21
10/2015,107.754122,105.986968,109.464551,22
9/2015,108.436342,105.888554,111.089027,22
8/2015,108.782231,106.575711,110.431020,21
7/2015,104.798058,102.366303,108.318316,23
6/2015,101.722108,100.069684,103.084759,22
5/2015,97.881415,96.347313,99.558466,20
4/2015,99.012512,97.783619,100.058748,20
3/2015,100.764179,98.367498,103.188911,22
2/2015,99.602360,98.364747,101.224563,20
1/2015,100.001298,98.640752,101.211411,21
12/2014,99.001013,97.527642,100.408064,21
11/2014,96.990829,94.886523,98.491948,20
10/2014,96.027205,94.233076,97.481979,23
9/2014,96.778715,95.109517,98.156341,22
8/2014,94.117421,92.428765,96.865424,21
7/2014,90.118479,88.474287,92.881420,23
6/2014,88.751480,87.936935,89.733037,21
5/2014,89.004884,88.022638,91.241052,21
4/2014,89.127546,87.732762,90.517691,20
3/2014,91.289635,88.604545,93.227947,21
2/2014,91.164067,90.141256,92.370835,20
1/2014,88.927601,87.084342,91.272428,22
12/2013,87.262905,86.193159,88.063505,20
11/2013,85.300486,83.543903,86.856828,21
10/2013,82.120304,81.187158,83.613162,23
9/2013,82.445743,81.292955,83.594819,21
8/2013,83.737893,82.911321,84.509278,22
7/2013,82.380274,81.065161,84.464825,23
6/2013,81.904159,80.166343,84.108849,20
5/2013,78.215230,76.479325,80.900594,22
4/2013,76.331034,75.141515,77.423064,21
3/2013,76.040972,75.814693,76.280274,20
2/2013,75.853604,75.469885,76.113593,20
1/2013,75.942593,75.523211,76.457717,22
12/2012,76.511001,75.864119,77.331844,19
11/2012,77.145911,76.647636,77.846956,22
10/2012,75.820294,74.686637,77.344750,23
9/2012,74.975374,74.266515,75.889763,20
8/2012,75.579592,74.521596,76.166620,23
7/2012,77.225433,75.828067,78.939376,22
6/2012,79.413613,77.786169,81.457244,21
5/2012,78.869259,76.261496,81.765060,22
4/2012,77.076469,76.473775,77.663111,19
3/2012,76.936030,75.405324,77.996417,22
2/2012,76.362966,75.664537,77.508084,21
1/2012,79.316767,76.749769,82.353110,22
12/2011,81.488267,79.941915,82.694991,21
11/2011,79.656615,77.028046,82.729290,22
